Laptop Name,Laptop Price,Laptop Description,Laptop Specifications,Rating,Reviews
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA,"38,990","X515EA-EJ322WS Thin and Light La...4.21,474 Ratings & 136 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹38,990₹50,9902",8 GB DDR4 RAM64,474,136 Reviews
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s,"40,490","14s - dy2508TU Thin and Light Laptop4.34,260 Ratings & 374 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty₹40,490₹49,5091",8 GB DDR4 RAM64,260,374 Reviews
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA,"23,990","Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...4.11,853 Ratings & 218 ReviewsIntel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹23,990₹33,9902",4 GB DDR4 RAM64,853,218 Reviews
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA,"46,990","X515EA-EJ522WS Thin and Light La...4.3678 Ratings & 58 ReviewsIntel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹46,990₹69,9903",8 GB DDR4 RAM64,...4.3678,58 Reviews
HP Laptop Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s,"38,990","15s-fq2717TU Thin and Light Laptop4.3100 Ratings & 10 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹38,990₹49,0252",8 GB DDR4 RAMWindows,4.3100,10 Reviews
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen,"41,990","15IAU7 Thin and Light...3.915 Ratings & 1 ReviewsIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display2 Year warranty₹41,990₹64,2903",8 GB DDR4 RAM64,...3.915,1 Reviews
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s,"56,990","15s-fq5111TU Thin and Light Laptop4.22,836 Ratings & 215 ReviewsIntel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹56,990₹70,2351",8 GB DDR4 RAM64,836,215 Reviews
Lenovo Ryzen 3 Hexa Core 5300U,"32,990","TB15 G3 ACL Thin and Light Laptop4.2120 Ratings & 27 ReviewsAMD Ryzen 3 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹32,990₹58,5004",8 GB DDR4 RAMWindows,4.2120,27 Reviews
realme Book (Slim) Core i3 11th Gen,"35,990","Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop4.413,216 Ratings & 1,926 ReviewsStylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty₹35,990₹54,9993",8 GB DDR4 RAM64,216,No Reviews Found
Infinix INBook Y1 Plus Intel Core i3 10th Gen,"27,990","XL28 Thin and Light ...4.21,607 Ratings & 256 ReviewsIntel Core i3 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹27,990₹44,9903",8 GB LPDDR4X RAM64,607,256 Reviews
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"33,990","15ITL05 Thin and Ligh...4.2415 Ratings & 28 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Year warranty₹33,990₹59,3904",8 GB DDR4 RAMWindows,...4.2415,28 Reviews
RedmiBook Pro Core i5 11th Gen,"37,990","Thin and Light Laptop4.15,328 Ratings & 610 ReviewsIntel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home & Student 2019, Mi Smart Share, DTS Audio processing1 Year Onsite Warranty₹37,990₹59,9993",8 GB DDR4 RAMWindows,328,610 Reviews
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s,"38,496","14s - dy2507TU Thin and Light Laptop4.22,462 Ratings & 213 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹38,496₹47,2791",8 GB DDR4 RAM64,462,213 Reviews
Lenovo IdeaPad 3 Intel Core i5 12th Gen,"60,990","15IAU7 Thin and Light Lap...4.1123 Ratings & 14 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year warranty₹60,990₹82,4902",16 GB DDR4 RAM64,...4.1123,14 Reviews
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s,"43,990","15s-fq5007TU Thin and Light Laptop4.2442 Ratings & 53 ReviewsIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty₹43,990₹56,2612",8 GB DDR4 RAM64,4.2442,53 Reviews
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H,"52,990","Display1 Year Warranty₹52,990₹72,9902",8 GB DDR4 RAM64,755,364 Reviews
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s,"52,990","15s- fr4000TU Thin and Light Laptop4.3402 Ratings & 25 ReviewsIntel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹52,990₹56,903",8 GB DDR4 RAM64,4.3402,25 Reviews
Lenovo IdeaPad 3 Intel Core i3 11th Gen,"39,000","82H801L7IN | 82H802FJIN | ...4.35,156 Ratings & 479 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Year warranty₹39,000₹55,4902",8 GB DDR4 RAM64,156,479 Reviews
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A4.79,699 Ratings & 854 ReviewsApple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt","82,900","MGN63HN/A4.79,699 Ratings & 854 ReviewsApple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty₹82,900₹99,9001",8 GB DDR4 RAMMac,699,854 Reviews
ASUS TUF Gaming F15 Core i5 10th Gen,"53,990","8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹53,990₹74,9902",8 GB DDR4 RAM64,289,572 Reviews
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"44,852","15ALC6 Thin and Light Lap...4.31,836 Ratings & 196 ReviewsAMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Year warranty₹44,852₹68,4903",8 GB DDR4 RAM64,836,196 Reviews
